"","DrugName","ApplicationDocsID","ApplNo","SubmissionType","SubmissionNo","ApplicationDocsURL","SubmissionClassCodeID","SubmissionStatusDate","ReviewPriority","AppSubmissionDate","DIVISION","OFFICE","BOX1","BOX2","BOX3","BOX4","BOX5","BOX6","BOX7","BOX8","BOX9","BOX10","BOX11","BOX12","BOX13","BOX14","BOX15","BOX16","BOX17","BOX18","BOXNA","X505B2","NME","ApplType","ACTIVE_INGREDIENT","BTD","PR","FT","AA","ORPH","FDA.approved.use.on.approval.date","BOXED_WARNING","BW","BW_PREG","ER","num_box","term_box","SectionA_notCOA"
"1","ULTOMIRIS",57245,761108,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761108Orig1s000TOC.cfm",7,"12/21/2018","PRIORITY",2018-06-18,"DHP","OHOP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"BLA","ravulizumab",0,0,0,0,"1","To treat paroxysmal nocturnal hemoglobinuria (PNH)","WARNING: SERIOUS MENINGOCOCCAL INFECTIONS Life-threatening meningococcal infections/sepsis have occurred in patients treated with ULTOMIRIS. Meningococcal infection may become rapidly life-threatening or fatal if not recognized and treated early [see Warnings and Precautions (5.1)]. Comply with the most current Advisory Committee on Immunization Practices (ACIP) recommendations for meningococcal vaccination in patients with complement deficiencies. Immunize patients with meningococcal vaccines at least 2 weeks prior to administering the first dose of ULTOMIRIS, unless the risks of delaying ULTOMIRIS therapy outweigh the risk of developing a meningococcal infection [see Warnings and Precautions (5.1) for additional guidance on the management of the risk of meningococcal infection]. Vaccination reduces, but does not eliminate, the risk of meningococcal infections. Monitor patients for early signs of meningococcal infections and evaluate immediately if infection is suspected. ULTOMIRIS is available only through a restricted program under a Risk Evaluation and Mitigation Strategy (REMS). Under the ULTOMIRIS REMS, prescribers must enroll in the program [see Warnings and Precautions (5.1)]. Enrollment in the ULTOMIRIS REMS program and additional information are available by telephone: 1-844-259-6783 or at www.ultomirisrems.com. WARNING: SERIOUS MENINGOCOCCAL INFECTIONS See full prescribing information for complete boxed warning Life-threatening meningococcal infections/sepsis have occurred in patients treated with ULTOMIRIS and may become rapidly life-threatening or fatal if not recognized and treated early (5.1). Comply with the most current Advisory Committee on Immunization Practices (ACIP) recommendations for meningococcal vaccination in patients with complement deficiencies (5.1). Immunize patients with meningococcal vaccines at least 2 weeks prior to administering the first dose of ULTOMIRIS, unless the risks of delaying ULTOMIRIS therapy outweigh the risks of developing a meningococcal infection. (See Warnings and Precautions (5.1) for additional guidance on the management of the risk of meningococcal infection.)Vaccination reduces, but does not eliminate, the risk of meningococcal infection. Monitor patients for early signs of meningococcal infections, and evaluate immediately if infection is suspected. ULTOMIRIS is available only through a restricted program under a Risk Evaluation and Mitigation Strategy (REMS). Under the ULTOMIRIS REMS, prescribers must enroll in the program (5.1).",1,0,0,3,1,0
"2","ELZONRIS",57350,761116,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761116Orig1s000TOC.cfm",7,"12/21/2018","PRIORITY",2018-06-21,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"BLA","tagraxofusp-erzs",1,1,0,0,"1","To treat blastic plasmacytoid dendritic cell neoplasm (BPDCN)",NA,0,0,2,1,1,0
"3","ASPARLAS",57292,761102,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761102Orig1s000TOC.cfm",7,"12/20/2018","STANDARD",2017-12-21,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"BLA","calaspargase pegol-mknl",0,0,0,0,"1","To treat acute lymphoblastic leukemia (ALL) in pediatric and young adult patients age 1 month to 21 years",NA,0,0,0,1,1,0
"4","MOTEGRITY",57043,210166,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210166Orig1s000TOC.cfm",7,"12/14/2018","STANDARD",2017-12-20,"DGIEP","ODE3",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"NDA","prucalopride",0,0,0,0,"0","To treat chronic idiopathic constipation",NA,0,0,0,5,2,0
"5","FIRDAPSE",56984,208078,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/208078Orig1_toc.cfm",7,"11/28/2018","PRIORITY",2018-03-28,"DNP","ODE1",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","amifampridine",1,1,0,0,"1","To treat  Lambert-Eaton myasthenic syndrome (LEMS) in adults",NA,0,0,2,4,2,0
"6","XOSPATA",56985,211349,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/211349Orig1_toc.cfm",7,"11/28/2018","PRIORITY",2018-03-29,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"NDA","gilteritinib",0,1,1,0,"1","To treat patients who have relapsed or refractory acute myeloid leukemia (AML)",NA,0,0,2,1,1,0
"7","VITRAKVI",56701,210861,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210861Orig1s000_21171Orig1s000TOC.cfm",7,"11/26/2018","PRIORITY",2018-03-26,"DOP2","OHOP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NDA","larotrectinib",1,1,0,1,"1","To treat patients whose cancers have a specific genetic feature (biomarker)",NA,0,0,3,3,1,0
"8","DAURISMO",56753,210656,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210656Orig1s000TOC.cfm",7,"11/21/2018","PRIORITY",2018-04-27,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"NDA","glasdegib",0,1,0,0,"1","To treat newly-diagnosed acute myeloid leukemia (AML) in adult patients","WARNING: EMBRYO-FETAL TOXICITY DAURISMO can cause embryo-fetal death or severe birth defects when administered to a pregnant woman. DAURISMO is embryotoxic, fetotoxic, and teratogenic in animals [see Warnings and Precautions (5.1), Use in Specific Populations (8.1)]. Conduct pregnancy testing in females of reproductive potential prior to initiation of DAURISMO treatment. Advise females of reproductive potential to use effective contraception during treatment with DAURISMO and for at least 30 days after the last dose [see Warnings and Precautions (5.1), Use in Specific Populations (8.1, 8.3)]. Advise males of the potential risk of DAURISMO exposure through semen and to use condoms with a pregnant partner or a female partner of reproductive potential during treatment with DAURISMO and for at least 30 days after the last dose to avoid potential drug exposure [see Warnings and Precautions (5.1), Use in Specific Populations (8.3)]. WARNING: EMBRYO-FETAL TOXICITY See full prescribing information for complete boxed warning. DAURISMO can cause embryo-fetal death or severe birth defects when administered to a pregnant woman. DAURISMO is embryotoxic, fetotoxic, and teratogenic in animals. (5.1, 8.1) Conduct pregnancy testing in females of reproductive potential prior to initiation of DAURISMO treatment. Advise females of reproductive potential to use effective contraception during treatment with DAURISMO and for at least 30 days after the last dose. (5.1, 8.1, 8.3) Advise males of the potential risk of exposure through semen and to use condoms with a pregnant partner or a female partner of reproductive potential during treatment with DAURISMO and for at least 30 days after the last dose to avoid potential drug exposure. (5.1, 8.3)",1,1,1,1,1,0
"9","GAMIFANT",56754,761107,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761107Orig1s000TOC.cfm",7,"11/20/2018","PRIORITY",2018-03-20,"DHP","OHOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"BLA","emapalumab-lzsg",1,1,0,0,"1","To treat primary hemophagocytic lymphohistiocytosis (HLH) ",NA,0,0,2,1,1,0
"10","AEMCOLO",56983,210910,"ORIG",1,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210910Orig1_toc.cfm",7,"11/16/2018","PRIORITY",2018-03-16,"DAIP","OAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"NDA","rifamycin",0,1,1,0,"0","To treat travelers’ diarrhea",NA,0,0,2,1,1,0
