DrugID,IndicationID,DrugIndicationID,LeadCompanyID,Drug_Name,Generic_Name,Lead_Company,Ticker,State,Country,Continent,Market_Cap,Disease_Group,Sub_Disease_Group,Indication_Name,Lead_Indication,Current_Phase,Event_Phase,Likelihood_of_Approval,Molecule,Target,Drug_Classification,Imaging_Agent,Route_of_Administration,Fast_Track,SPA,Orphan,Breakthrough,RMAT,QIDP,Est_US_Approval_Date,Est_EU_Approval_Date,Est_Japan_Approval_Date,Actual_US_Approval_Date,Actual_EU_Approval_Date,Actual_Japan_Approval_Date,Future_PDUFA_Date,Future_NDA_BLA_Date,NDA_BLA_Date,Phase_III_Date,Phase_II_Date,Phase_I_Date,IND_Date,Phase_III_Event_Date,Phase_II_Event_Date,Phase_I_Event_Date,Lead_Company_Revenue_Pct_US,Peak_US_Revenue,US_2016,US_2017,US_2018,US_2019_YTD,WW_2016,WW_2017,WW_2018,WW_2019_YTD,Last_Quarter_Reported,Partner
25001,78,34751,266,Abacavir and lamivudine (Mylan),abacavir and lamivudine,Mylan N.V.,MYL,Pennsylvania,United States,North America,,Infectious disease,Antiviral,HIV / AIDS,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Reverse Transcriptase,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,10/23/14,,,,,12/23/13,,,,,07/18/12,,,N/A,,N/A,$     0.0,$     0.0,$     0.0,N/A,$     0.0,$     0.0,$     0.0,N/A,N/A
1743,168,2778,636,Abilify (Oral and IM),aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Bipolar,Bipolar Disorder,N,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,New Molecular Entity (NME),No,"Intramuscular (IM), Oral (PO)",N,N,N,N,N,N,,,,09/29/04,04/08/08,01/18/12,,,06/25/03,02/01/02,,,,02/01/02,,,55%,234.6,$   247.4,$   138.5,N/A,N/A,$   849.1,$   617.6,$   462.9,$    87.2,Q1 2019,"H. Lundbeck A/S, Ligand Pharmaceuticals, Inc."
1743,170,3675,636,Abilify (Oral and IM),aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Psychosis/Schizophrenia,Schizophrenia,Y,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,New Molecular Entity (NME),No,"Intramuscular (IM), Oral (PO)",N,N,N,N,N,N,,,,11/15/02,06/04/04,01/23/06,,,10/31/01,07/01/97,,,,07/01/97,,,55%,73.6,$   247.4,$   138.5,N/A,N/A,$   849.1,$   617.6,$   462.9,$    87.2,Q1 2019,"H. Lundbeck A/S, Ligand Pharmaceuticals, Inc."
1743,167,6512,636,Abilify (Oral and IM),aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Unipolar Depression,Major Depressive Disorder (MDD),N,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,New Molecular Entity (NME),No,"Intramuscular (IM), Oral (PO)",N,N,N,N,N,N,,,,11/16/07,,06/14/13,,,05/16/07,06/01/04,,,,06/01/04,,,55%,,$   247.4,$   138.5,N/A,N/A,$   849.1,$   617.6,$   462.9,$    87.2,Q1 2019,"H. Lundbeck A/S, Ligand Pharmaceuticals, Inc."
1743,619,17227,636,Abilify (Oral and IM),aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Neurology,Neurodevelopmental Disorders,Autism Spectrum Disorders (Autism),N,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,New Molecular Entity (NME),No,"Intramuscular (IM), Oral (PO)",N,N,N,N,N,N,,,,11/19/09,,09/28/16,,,01/21/09,,,,,06/01/06,,,55%,,$   247.4,$   138.5,N/A,N/A,$   849.1,$   617.6,$   462.9,$    87.2,Q1 2019,"H. Lundbeck A/S, Ligand Pharmaceuticals, Inc."
1743,3217,24525,636,Abilify (Oral and IM),aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Neurology,Other,Tourette's Syndrome,N,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,New Molecular Entity (NME),No,"Intramuscular (IM), Oral (PO)",N,N,N,N,N,N,,,,12/16/14,,,,,04/03/14,10/24/11,,,,08/16/11,,06/30/11,55%,,$   247.4,$   138.5,N/A,N/A,$   849.1,$   617.6,$   462.9,$    87.2,Q1 2019,"H. Lundbeck A/S, Ligand Pharmaceuticals, Inc."
19041,170,25067,636,Abilify Maintena,aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Psychosis/Schizophrenia,Schizophrenia,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Intramuscular (IM),N,N,N,N,N,N,,,,02/28/13,11/15/13,03/26/15,,,09/26/11,12/31/08,,,,12/31/08,,,N/A,,$   399.6,$   625.3,$   441.0,N/A,$   673.6,"$  1,432.2","$  1,490.0",$   279.1,Q1 2019,H. Lundbeck A/S
19041,168,27051,636,Abilify Maintena,aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Bipolar,Bipolar Disorder,N,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Intramuscular (IM),N,N,N,N,N,N,,,,07/28/17,,,,,09/28/16,10/09/12,,,,03/26/12,,,N/A,,$   399.6,$   625.3,$   441.0,N/A,$   673.6,"$  1,432.2","$  1,490.0",$   279.1,Q1 2019,H. Lundbeck A/S
26729,170,37326,636,Abilify Mycite,aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Psychosis/Schizophrenia,Schizophrenia,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,11/13/17,,,,,09/11/15,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Proteus Digital Health, Inc."
26729,168,37329,636,Abilify Mycite,aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Bipolar,Bipolar Disorder,N,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,11/13/17,,,,,09/11/15,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Proteus Digital Health, Inc."
26729,167,37330,636,Abilify Mycite,aripiprazole,"Otsuka Holdings Co., Ltd.",4768:JP,,Japan,Asia,,Psychiatry,Unipolar Depression,Major Depressive Disorder (MDD),N,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha Adrenergic Receptors^ Dopamine 2 (D2) Receptor^ Dopamine 3 (D3) Receptor^ Serotonin 5-HT1 receptor^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,11/13/17,,,,,09/11/15,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Proteus Digital Health, Inc."
1861,214,2988,82,Abraxane,paclitaxel (albumin-bound),Celgene Corporation,CELG,New Jersey,United States,North America,65869523328,Oncology,Solid,Breast Cancer,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Microtubules (Tubulin),Non-NME,No,Intravenous (IV),Y,N,N,,N,N,,,,01/07/05,01/11/08,07/23/10,,,03/08/04,,,,,09/24/03,,,100%,,$   633.8,$   607.0,$   663.0,$   196.0,$   973.4,"$  1,192.0","$  1,297.1",$   345.0,Q1 2019,"BeiGene, Ltd., Biotoscana International, Otsuka Holdings Co., Ltd., Specialised Therapeutics Australia Pty, Ltd."
1861,211,2993,82,Abraxane,paclitaxel (albumin-bound),Celgene Corporation,CELG,New Jersey,United States,North America,65869523328,Oncology,Solid,Non-Small Cell Lung Cancer (NSCLC),N,Approved,Approved,100% (Same As Avg.),Small Molecule,Microtubules (Tubulin),Non-NME,No,Intravenous (IV),N,Y,N,N,N,N,,,,10/11/12,03/02/15,02/21/13,,,12/09/11,,,,,10/15/07,02/25/04,,100%,,$   633.8,$   607.0,$   663.0,$   196.0,$   973.4,"$  1,192.0","$  1,297.1",$   345.0,Q1 2019,"BeiGene, Ltd., Biotoscana International, Otsuka Holdings Co., Ltd., Specialised Therapeutics Australia Pty, Ltd."
1861,220,13815,82,Abraxane,paclitaxel (albumin-bound),Celgene Corporation,CELG,New Jersey,United States,North America,65869523328,Oncology,Solid,Pancreatic Cancer,N,Approved,Approved,100% (Same As Avg.),Small Molecule,Microtubules (Tubulin),Non-NME,No,Intravenous (IV),N,N,Y,N,N,N,,,,09/06/13,12/23/13,12/18/14,,,03/21/13,03/03/09,,,,03/03/09,04/01/08,,100%,292.8,$   633.8,$   607.0,$   663.0,$   196.0,$   973.4,"$  1,192.0","$  1,297.1",$   345.0,Q1 2019,"BeiGene, Ltd., Biotoscana International, Otsuka Holdings Co., Ltd., Specialised Therapeutics Australia Pty, Ltd."
8157,603,10073,3285,Absorica,isotretinoin,Sun Pharmaceutical Industries Ltd.,SUNP:IN,,India,Asia,,Dermatology,General,Acne,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Retinoic acid receptor (RARs),Non-NME,No,Oral (PO),N,N,N,,N,N,,,,05/25/12,,,,,06/30/05,,,,,09/06/05,,,85%,69.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Q4 2011,"Cipher Pharmaceuticals Inc., Daiichi Sankyo Co., Ltd."
