Company ID,Company Name,Symbol,Company Type (Public/Private),Company Group,Country,Market Cap,Currency,Number of Employees Qtr,Number of Employees Ann,Number of Employees TTM
4,Vericel Corporation,VCEL,Public,Biotech Industry,United States,704394405,USD,0,205,0
5,AbbVie Inc.,ABBV,Public,Biotech Industry,United States,99233151092,USD,0,29000,0
7,"Acadia Pharmaceuticals, Inc.",ACAD,Public,Biotech Industry,United States,3508341323,USD,0,425,0
8,"Acorda Therapeutics, Inc.",ACOR,Public,Biotech Industry,United States,148382017,USD,0,484,0
14,"Aeterna Zentaris, Inc.",AEZS,Public,Biotech Industry,Canada,34196780,USD,34,34,
21,"Alexion Pharmaceuticals, Inc.",ALXN,Public,Biotech Industry,United States,25729734568,USD,0,2525,0
22,Alkermes plc,ALKS,Public,Biotech Industry,Ireland,3118532535,USD,0,2000,0
28,General Electric,GE,Public,Other,United States,69323976550,USD,0,313000,0
30,"Amgen, Inc.",AMGN,Public,Biotech Industry,United States,1.26858E+11,USD,0,20800,0
35,"Angiotech Pharmaceuticals, Inc. ",,Private,Biotech Industry,Canada,,,,,
36,Agenus Inc.,AGEN,Public,Biotech Industry,United States,334752472,USD,0,255,0
41,Aradigm Corporation,ARDM,Public,Biotech Industry,United States,,USD,0,23,0
42,"Arena Pharmaceuticals, Inc.",ARNA,Public,Other,United States,2654608665,USD,0,159,0
45,AstraZeneca PLC,AZN,Public,Pharmaceutical Industry,United Kingdom,28201963860,USD,59700,59700,
50,AutoImmune Inc.,AIMM,Public,Biotech Industry,United States,,USD,0,0,0
51,Sanofi,SNY,Public,Pharmaceutical Industry,France,1.06792E+11,EUR,106566,106566,
52,"Sarepta Therapeutics, Inc.",SRPT,Public,Biotech Industry,United States,6255359442,USD,0,255,0
57,BASF AG,BASFY,Public,Other,Germany,0,EUR,95247,95247,
58,Baxter International Inc.,BAX,Public,Pharmaceutical Industry,United States,45247949059,USD,0,47000,0
59,Bayer AG,BAYRY,Public,Pharmaceutical Industry,Germany,,,,,
61,"Becton, Dickinson and Company",BDX,Public,Pharmaceutical Industry,United States,66611129081,USD,76032,76032,
63,"BioCryst Pharmaceuticals, Inc.",BCRX,Public,Biotech Industry,United States,274102610,USD,0,85,0
64,"Biogen, Inc.",BIIB,Public,Biotech Industry,United States,45504844080,USD,0,7300,0
65,BioMarin Pharmaceutical Inc.,BMRN,Public,Biotech Industry,United States,13489985150,USD,0,2581,0
70,Boehringer Ingelheim GmbH,,Private,Pharmaceutical Industry,Germany,,,,,
72,Boston Scientific Corporation,BSX,Public,Pharmaceutical Industry,United States,56971078153,USD,0,29000,0
73,Bristol-Myers Squibb Company,BMY,Public,Pharmaceutical Industry,United States,76027818892,USD,0,23700,0
82,Celgene Corporation,CELG,Public,Biotech Industry,United States,65722680441,USD,0,7467,0
85,CTI BioPharma Corporation,CTIC,Public,Biotech Industry,United States,39780153,USD,0,57,0
88,UCB SA,UCB:BB,Public,Biotech Industry,Belgium,,,,,
94,"Chugai Pharmaceutical Co., Ltd.",4519:JP,Public,Pharmaceutical Industry,Japan,,,,,
104,"Anesiva, Inc.",ANSVQ,Public,Biotech Industry,United States,,USD,0,100,0
107,RespireRx Pharmaceuticals Inc.,RSPI,Public,Biotech Industry,United States,2332481,USD,0,3,0
114,"Curis, Inc.",CRIS,Public,Biotech Industry,United States,67219686,USD,0,55,0
120,"Assertio Therapeutics, Inc.",ASRT,Public,Biotech Industry,United States,,,,,
128,D-Pharm Ltd.,DPRM:IT,Public,Biotech Industry,Israel,,,,,
133,Dynavax Technologies Corporation,DVAX,Public,Biotech Industry,United States,270827184,USD,0,121,0
134,"Eisai Co., Ltd.",ESALY,Public,Pharmaceutical Industry,Japan,,,,,
136,Eli Lilly & Company,LLY,Public,Pharmaceutical Industry,United States,1.16006E+11,USD,0,40655,0
137,"Elite Pharmaceuticals, Inc.",ELTP,Public,Biotech Industry,United States,49906925,USD,0,43,0
138,Bradmer Pharmaceuticals,BMR:CN,Public,Pharmaceutical Industry,Canada,,,,,
140,"Emisphere Technologies, Inc.",EMIS,Public,Biotech Industry,United States,629823147,USD,0,6,0
142,Endo International plc,ENDP,Public,Pharmaceutical Industry,Ireland,650599804,USD,0,3039,0
143,"Soligenix, Inc.",SNGX,Public,Biotech Industry,United States,18920637,USD,0,18,0
144,"CASI Pharmaceuticals, Inc.",CASI,Public,Biotech Industry,United States,284506045,USD,0,49,0
145,"Enzon Pharmaceuticals, Inc.",ENZN,Public,Biotech Industry,United States,11495796,USD,0,0,0
147,"Exelixis, Inc.",EXEL,Public,Biotech Industry,United States,5994611856,USD,0,372,0
149,Roche Holding AG,RHHBY,Public,Other,Switzerland,,,,,
151,"FibroGen, Inc.",FGEN,Public,Biotech Industry,United States,3545284496,USD,0,423,0
162,Danisco A/S ,DNSOF,Public,Biotech Industry,Denmark,,,,,
164,Generex Biotechnology Corporation,GNBT,Public,Biotech Industry,United States,127876309,USD,0,0,0
166,Genmab A/S,GMAB,Public,Biotech Industry,Denmark,,,,,
171,"Genta, Inc.",GNTAQ,Public,Biotech Industry,United States,,USD,0,21,0
178,Geron Corporation,GERN,Public,Biotech Industry,United States,253433369,USD,0,15,0
179,"Gilead Sciences, Inc.",GILD,Public,Biotech Industry,United States,80864161946,USD,0,10000,0
180,GlaxoSmithKline plc,GSK,Public,Pharmaceutical Industry,United Kingdom,1.10648E+11,GBP,98462,98462,
189,"Idera Pharmaceuticals, Inc.",IDRA,Public,Biotech Industry,United States,61158231,USD,0,62,0
205,"ImmunoGen, Inc.",IMGN,Public,Biotech Industry,United States,375708740,USD,0,293,0
206,"Immunomedics, Inc.",IMMU,Public,Biotech Industry,United States,2500655764,USD,0,185,0
207,"Aeolus Pharmaceuticals, Inc.",AOLS,Public,Biotech Industry,United States,243337,USD,0,4,0
208,Incyte Corporation,INCY,Public,Biotech Industry,United States,17431115402,USD,0,1208,0
210,Nektar Therapeutics,NKTR,Public,Biotech Industry,United States,2940718074,USD,0,509,0
211,Atlantic Healthcare plc,,Private,Biotech Industry,United Kingdom,,,,,
212,Insmed Incorporated,INSM,Public,Biotech Industry,United States,1238839980,USD,0,214,0
220,Ipsen SA,IPSEY,Public,Pharmaceutical Industry,France,,,,,
221,"Ionis Pharmaceuticals, Inc.",IONS,Public,Biotech Industry,United States,9349359819,USD,0,547,0
222,Japan Tobacco Inc.,2914:JP,Public,Pharmaceutical Industry,Japan,,,,,
223,Johnson & Johnson,JNJ,Public,Pharmaceutical Industry,United States,3.42569E+11,USD,0,134000,0
228,"Kissei Pharmaceutical Co., Ltd",4547:JP,Public,Pharmaceutical Industry,Japan,,,,,
233,"Lexicon Pharmaceuticals, Inc.",LXRX,Public,Biotech Industry,United States,137703022,USD,0,174,0
235,"Ligand Pharmaceuticals, Inc.",LGND,Public,Biotech Industry,United States,1967032341,USD,0,39,0
238,Lonza Group AG,LZAGY,Public,Pharmaceutical Industry,Switzerland,,,,,
239,Aptose Biosciences Inc.,APTO,Public,Biotech Industry,Canada,62704680,CAD,18,19,18
240,H. Lundbeck A/S,HLUKF,Public,Pharmaceutical Industry,Denmark,,,,,
243,Genaera Corporation ,GENR,Public,Biotech Industry,United States,,USD,16,16,
248,The Medicines Company,MDCO,Public,Biotech Industry,United States,2587392025,USD,0,170,0
252,Medtronic plc,MDT,Public,Pharmaceutical Industry,United States,,,,,
254,"Merck & Co., Inc.",MRK,Public,Pharmaceutical Industry,United States,2.20876E+11,USD,0,69000,0
255,Merck KGaA,MKGAY,Public,Pharmaceutical Industry,Germany,,,,,
256,Merz Pharmaceuticals GmbH,,Private,Biotech Industry,Germany,,,,,
257,Mirati Therapeutics,MRTX,Public,Biotech Industry,United States,2710212017,USD,0,51,0
260,Miravant Medical Technologies,,Private,Biotech Industry,United States,,USD,0,0,0
262,Mitsubishi Tanabe Pharma Corporation,4508:JP,Public,Other,Japan,,,,,
263,"Mochida Pharmaceutical Co., Ltd. ",TYO: 4534,Public,Pharmaceutical Industry,Japan,,,,,
264,MorphoSys AG,MOR,Public,Biotech Industry,Germany,0,,,,
266,Mylan N.V.,MYL,Public,Pharmaceutical Industry,United States,,USD,25000,25000,
267,"Myrexis, Inc.",MYRX,Public,Biotech Industry,United States,1034371,USD,1,1,
269,"Poniard Pharmaceuticals, Inc.",PARD,Public,Biotech Industry,United States,28635,USD,0,0,0
270,"Spectrum Pharmaceuticals, Inc.",SPPI,Public,Biotech Industry,United States,829647921,USD,0,215,0
273,"Neurobiological Technologies, Inc.",NTII,Public,Biotech Industry,United States,81059,USD,0,0,
275,BELLUS Health Inc.,BLUSF,Public,Biotech Industry,Canada,,,,,
276,"Neurocrine Biosciences, Inc.",NBIX,Public,Biotech Industry,United States,8849674141,USD,0,400,0
281,NeuroSearch A/S,NEUR:DC,Public,Biotech Industry,Denmark,,,,,
284,Nicox S.A.,COX:FP,Public,Biotech Industry,France,,,,,
285,"NitroMed, Inc. ",,Private,Biotech Industry,United States,,,,,
288,"Northwest Biotherapeutics, Inc.",NWBO,Public,Biotech Industry,United States,101131907,USD,0,14,0
289,Novartis AG,NVS,Public,Pharmaceutical Industry,Switzerland,2.044E+11,USD,125161,125161,
291,NovImmune SA,,Private,Biotech Industry,Switzerland,,,,,
292,Novo Nordisk A/S,NVO,Public,Pharmaceutical Industry,Denmark,1.02583E+11,DKK,0,0,
296,Nymox Pharmaceutical Corporation,NYMX,Public,Biotech Industry,Canada,95279337,USD,0,0,
307,"Mateon Therapeutics, Inc",MATN,Public,Biotech Industry,United States,9526584,USD,0,2,0
310,"Avid Bioservices, Inc.",CDMO,Public,Biotech Industry,United States,368365886,USD,0,185,0
311,"Perlegen Sciences, Inc.",,Private,Biotech Industry,United States,,,,,
312,Pfizer Inc.,PFE,Public,Pharmaceutical Industry,United States,1.98501E+11,USD,0,90200,0
315,Pharmos Corporation,PARS,Public,Biotech Industry,United States,547553,USD,0,2,0
319,Alterity Therapeutics Limited,ATHE,Public,Biotech Industry,Australia,,,,,
320,Procter & Gamble,PG,Public,Other,United States,2.93485E+11,USD,0,92000,0
321,"Progenics Pharmaceuticals, Inc.",PGNX,Public,Biotech Industry,United States,362687385,USD,0,64,0
322,"PDL BioPharma, Inc.",PDLI,Public,Biotech Industry,United States,359101481,USD,0,14,0
325,Purdue Pharma L.P.,,Private,Biotech Industry,United States,,,,,
326,Novelion Therapeutics Inc.,NVLN,Public,Biotech Industry,Canada,,,,,
328,"Pharma Services Holding, Inc.",,Private,Pharmaceutical Industry,United States,,,,,
330,"Regeneron Pharmaceuticals, Inc.",REGN,Public,Biotech Industry,United States,30498812788,USD,0,6200,0
332,ReNeuron Group plc,RENE:LN,Public,Biotech Industry,United Kingdom,,,,,
335,"Rigel Pharmaceuticals, Inc.",RIGL,Public,Biotech Industry,United States,296620040,USD,0,103,0
340,Samyang Corporation,000070:KS,Public,Pharmaceutical Industry,Korea (South),,,,,
341,"Sangamo Therapeutics, Inc.",SGMO,Public,Biotech Industry,United States,1125063350,USD,0,182,0
343,"Daiichi Sankyo Co., Ltd.",DSKYF,Public,Pharmaceutical Industry,Japan,,,,,
351,"Seattle Genetics, Inc.",SGEN,Public,Biotech Industry,United States,12217529795,USD,0,1100,0
354,Les Laboratoires Servier,,Private,Pharmaceutical Industry,France,,,,,
357,Alfasigma S.p.A.,,Private,Biotech Industry,Italy,,,,,
372,Teijin Pharma Limited,3401:JP,Public,Other,Japan,,,,,
373,"MabVax Therapeutics Holdings, Inc.",MBVX,Public,Biotech Industry,United States,,USD,0,11,0
375,Teva Pharmaceutical Industries Ltd.,TEVA,Public,Biotech Industry,Israel,7181915673,USD,0,51800,0
380,"Titan Pharmaceuticals, Inc.",TTNP,Public,Biotech Industry,United States,5395953,USD,0,13,0
382,Transgene S.A.,TNG:FP,Public,Biotech Industry,France,,,,,
385,United Therapeutics Corporation,UTHR,Public,Biotech Industry,United States,3517921136,USD,0,800,0
386,"Urigen Pharmaceuticals, Inc.",URGP,Public,Pharmaceutical Industry,United States,,USD,2,2,
389,Vertex Pharmaceuticals Incorporated,VRTX,Public,Biotech Industry,United States,46046446746,USD,0,2300,0
390,"Vical, Inc.",VICL,Public,Biotech Industry,United States,17889153,USD,0,74,0
392,"Vivus, Inc.",VVUS,Public,Biotech Industry,United States,45921267,USD,0,52,0
395,Allergan plc,AGN,Public,Pharmaceutical Industry,Ireland,53614974929,USD,0,17800,0
397,Heidelberg Pharma AG,WL6:GR,Public,Biotech Industry,Germany,,,,,
401,XOMA Corporation,XOMA,Public,Biotech Industry,United States,145273162,USD,0,12,0
403,"Zenyaku Kogyo Co., Ltd.",,Private,Pharmaceutical Industry,Japan,,,,,
406,"Antisense Therapeutics, Ltd.",ANP.AX,Public,Biotech Industry,Australia,,,,,
407,"Achieve Life Sciences, Inc.",ACHV,Public,Biotech Industry,United States,13038939,USD,0,13,0
408,"AtheroGenics, Inc.",AGIX,Public,Biotech Industry,United States,,USD,0,2,0
409,"Taisho Pharmaceutical Co., Ltd.",4535:JP,Public,Pharmaceutical Industry,Japan,,,,,
410,"Kyowa Hakko Kirin Co., Ltd.",4151:JP,Public,Pharmaceutical Industry,Japan,,,,,
414,"BZL Biologics, LLC",,Private,Biotech Industry,United States,,,,,
422,"Immtech Pharmaceuticals, Inc.",IMMP,Public,Biotech Industry,United States,,USD,11,11,
423,Phenomix Corporation,,Private,Biotech Industry,United States,,,,,
424,Antisoma plc,ASM:LN,Public,Biotech Industry,United Kingdom,,,,,
426,Seikagaku Corporation,4548:JP,Public,Pharmaceutical Industry,Japan,,,,,
428,"Alnylam Pharmaceuticals, Inc.",ALNY,Public,Biotech Industry,United States,8273376016,USD,0,749,0
433,"Euthymics Bioscience, Inc.",,Private,Biotech Industry,United States,,,,,
436,Restoragen,,Private,Biotech Industry,United States,,,,,
437,Pepgen Corporation,,Private,Biotech Industry,United States,,,,,
438,"Tolerx, Inc.",,Private,Biotech Industry,United States,,,,,
439,"Nippon Shinyaku Co., Ltd.",4516:JP,Public,Biotech Industry,Japan,,,,,
445,"Sinclair Pharma, plc.",SPH:LN,Public,Pharmaceutical Industry,United Kingdom,,,,,
446,"ConjuChem, LLC",,Private,Biotech Industry,United States,,,,,
450,Arriva Pharmaceuticals,,Private,Biotech Industry,United States,,,,,
452,"Sanwa Kagaku Kenkyusho Co., Ltd.",,Private,Pharmaceutical Industry,Japan,,,,,
453,La Jolla Pharmaceutical Company,LJPC,Public,Biotech Industry,United States,271780417,USD,0,309,0
454,"ChemoCentryx, Inc.",CCXI,Public,Biotech Industry,United States,338522297,USD,0,66,0
457,TBG Diagnostics Limited,TDL,Public,Biotech Industry,Australia,762937,AUD,22,22,
459,Theratechnologies Inc.,THERF,Public,Biotech Industry,Canada,253194002,CAD,18,18,
460,"RegeneRx Biopharmaceuticals, Inc.",RGRX,Public,Biotech Industry,United States,20549196,USD,0,3,0
462,Helsinn Healthcare SA,,Private,Pharmaceutical Industry,Switzerland,,,,,
465,Swedish Orphan Biovitrum AB,STO:SOBI,Public,Biotech Industry,Sweden,,,,,
466,Alizyme plc,ZYM.SG,Public,Biotech Industry,United Kingdom,,,,,
467,"Adhera Therapeutics, Inc.",ATRX,Public,Biotech Industry,United States,1506635,USD,0,0,0
468,"ArQule, Inc.",ARQL,Public,Biotech Industry,United States,1002740632,USD,0,32,0
470,Bausch Health Companies Inc.,BHC,Public,Pharmaceutical Industry,Canada,7461041923,USD,0,20700,0
471,Johnson Matthey Plc,JMPLY,Public,Other,United Kingdom,,,,,
475,Afferon Corporation,,Public,Pharmaceutical Industry,United States,,,,,
486,Aralez Pharmaceuticals Inc.,ARLZ,Public,Biotech Industry,Canada,,,,,
491,"SciClone Pharmaceuticals, Inc.",SCLN,Public,Biotech Industry,United States,,USD,0,570,0
