"Company ID","Company Name","Company Type (Public/Private)","Country","Market Cap","Currency","EBITDA Qtr","EBITDA Ann","EBITDA TTM","Total Revenue Qtr","Total Revenue Ann","Total Revenue TTM",
"3774"," Resolve Therapeutics, LLC","Private","United States","","","","","","","","",
"9242","14ner Oncology, Inc.","Private","United States","","","","","","","","",
"7920","1ST Bio Therapeutics, Inc.","Private","Korea (South)","","","","","","","","",
"7395","1st Order Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"5124","23andMe, Inc.","Private","United States","","","","","","","","",
"8297","2-BBB Medicines BV","Private","Netherlands","","","","","","","","",
"4832","2M Companies, Inc.","Private","United States","","","","","","","","",
"7729","3B Pharmaceuticals GmbH","Private","Germany","","","","","","","","",
"8661","3D Medicines Co., Ltd.","Private","China","","","","","","","","",
"1022","3M","Public","United States","90749449989","USD","2371000000","8778000000","8181000000","8152000000","31657000000","32810000000",
"2979","3SBio Inc.","Private","China","","CNY","0","25076000","","0","107531000","",
"4811","4D Pharma","Private","United Kingdom","","","","","","","","",
"2620","4SC AG","Public","Germany","","","","","","","","",
"4145","60° Pharmaceuticals, LLC","Private","United States","","","","","","","","",
"1717","7TM Pharma A/S","Private","Denmark","","","","","","","","",
"8813","89bio Ltd.","Private","United States","","","","","","","","",
"4545","AADi, LLC","Private","United States","","","","","","","","",
"1286","AAIPharma, Inc.","Private","United States","","","","","","","","",
"7423","AAVogen Inc.","Private","United States","","","","","","","","",
"8137","AB Biosciences, Inc.","Private","United States","","","","","","","","",
"2690","AB Science S.A.","Public","France","","","","","","","","",
"7370","AB2 Bio Ltd.","Private","Switzerland","","","","","","","","",
"9249","Abbisko Therapeutics Co., Ltd.","Private","China","","","","","","","","",
"4052","Abbott Laboratories","Public","United States","143896365311","USD","1808000000","5659000000","6760000000","7656000000","27390000000","30402000000",
"5","AbbVie Inc.","Public","United States","99233151092","USD","3594000000","11093000000","12345000000","8236000000","28216000000","32187000000",
"6820","AbClon Inc.","Private","Korea (South)","","","","","","","","",
"4683","Abdi Ibrahim Pharmaceuticals","Private","Turkey","","","","","","","","",
"903","Abeona Therapeutics, Inc. ","Public","United States","87738409","USD","-16411000","-27095000","-45181000","1709000","837000","5341000",
"3361","AbGenomics Holding Ltd.","Private","United States","","","","","","","","",
"4418","Ability Pharmaceuticals, SL","Private","Spain","","","","","","","","",
"4124","Abiogen Pharma SpA","Private","Italy","","","","","","","","",
"5145","Abivax S.A.","Public","France","","","","","","","","",
"5656","ABNOBA GmbH","Private","Germany","","","","","","","","",
"6745","Abpro-Labs","Private","United States","","","","","","","","",
"9228","Abuse Deterrent Pharmaceuticals, LLC","Private","","","","","","","","","",
"3344","Abzena plc","Public","United Kingdom","","","","","","","","",
"2541","AC Immune SA","Public","Switzerland","","","","","","","","",
"3242","Acacia Pharma Group plc","Public","United Kingdom","","","","","","","","",
"7","Acadia Pharmaceuticals, Inc.","Public","United States","3508341323","USD","-60694000","-289988000","-247822000","58305000","124901000","207798000",
"4850","Acasti Pharma, Inc.","Public","Canada","46917933","CAD","0","-13204000","","0","0","",
"6601","Accelerated Pharma, Inc.","Private","United States","","","","","","","","",
"2049","Acceleron Pharma, Inc.","Public","United States","2012513288","USD","-29060000","-107158000","-112575000","3258000","13481000","13880000",
"8753","Accendatech Co. Ltd.","Private","United States","","","","","","","","",
"847","Accentia Biopharmaceuticals, Inc.","Public","United States","","USD","-1878763","-11288204","-11897633","549009","4054358","3370633",
"4484","Accolade Pharmaceuticals LLC","Private","United States","","","","","","","","",
"8467","Accord Healthcare Ltd.","Private","India","","","","","","","","",
"6550","ACEA Biosciences Inc.","Private","United States","","","","","","","","",
"2969","AcelRx Pharmaceuticals, Inc.","Public","United States","136195998","USD","-9186000","-36938000","-31766000","377000","7995000","2278000",
"4818","Acer Therapeutics, Inc.","Public","United States","","","","","","","","",
"4577","Acerta Pharma BV","Private","Netherlands","","","","","","","","",
"3451","Acerus Pharmaceuticals Corporation","Public","Canada","","","","","","","","",
"6430","Acesion Pharma ApS","Private","Denmark","","","","","","","","",
"2832","Achaogen Inc.","Public","United States","","USD","-45844000","-125219000","-185193000","1998000","11175000","8572000",
"407","Achieve Life Sciences, Inc.","Public","United States","13038939","USD","-3228000","-6350000","-12575000","0","0","0",
"9043","Achilles Therapeutics Ltd.","Private","United Kingdom","","","","","","","","",
"825","Achillion Pharmaceuticals, Inc.","Public","United States","590504884","USD","-17403000","-87371000","-80768000","0","0","0",
"4532","Aclaris Therapeutics, Inc.","Public","United States","43392362","USD","-33066000","-72021000","-120716000","1628000","1683000","7421000",
"4132","Acologix, Inc.","Private","United States","","","","","","","","",
"8","Acorda Therapeutics, Inc.","Public","United States","148382017","USD","33982000","-197427000","-101078000","142814000","588287000","590679000",
"4859","Acquist Therapeutics, Inc.","Private","United States","","","","","","","","",
"2065","ACRAF SpA (Gruppo Angelini)","Private","Italy","","","","","","","","",
"2696","Acrux","Public","Australia","","","","","","","","",
"2791","ACT Biotech, Inc.","Private","United States","","","","","","","","",
"2597","Actimis Pharmaceuticals","Private","United States","","","","","","","","",
"3323","Actinium Pharmaceuticals, Inc.","Public","United States","27478285","USD","-6183982","-26854850","-22622927","0","0","0",
"7618","Actinobac Biomed, Inc.","Private","United States","","","","","","","","",
"6374","Actinogen Medical","Public","Australia","","","","","","","","",
"3315","Action Pharma A/S","Private","Denmark","","","","","","","","",
"2698","Actis Biologics, Inc.","Private","India","","","","","","","","",
"4338","Activartis Biotech GmbH","Private","Austria","","","","","","","","",
"780","Activate Immunotherapy","Private","United States","","","","","","","","",
"3721","ActivBiotics Pharma, LLC","Private","United States","","","","","","","","",
"932","Active Biotech AB","Public","Sweden","","","","","","","","",
"3370","ActiveSite Pharmaceuticals","Private","United States","","","","","","","","",
"9179","Actuate Therapeutics, Inc.","Private","United States","","","","","","","","",
"4151","Actus Biotechnologies, Inc.","Private","United States","","","","","","","","",
"8869","Actym Therapeutics, Inc.","Private","United States","","","","","","","","",
"4023","A-Cube, Inc.","Private","United States","","","","","","","","",
"4193","Acumen Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"2665","Acura Pharmaceuticals, Inc.","Public","United States","4837711","USD","-924000","-4832000","-5054000","73000","2966000","421000",
"8459","Acurx Pharmaceuticals, LLC","Private","United States","","","","","","","","",
"1335","Acusphere, Inc.","Public","United States","173273","USD","-7644000","-44929000","-38455000","339000","2667000","2527000",
"3823","AdAlta Pty Ltd","Private","Australia","","","","","","","","",
"2838","Adamas Pharmaceuticals, Inc.","Public","United States","165653329","USD","-28326000","-86732000","-117201000","10613000","571000","21299000",
"3647","Adamed Group","Private","Poland","","","","","","","","",
"522","Adamis Pharmaceuticals Corporation ","Public","United States","45399703","USD","-8134506","-21725530","-31491142","3832935","13073259","13774569",
"4081","Adaptimmune Ltd.","Public","United Kingdom","897214458","USD","8927000","-75238000","-72509000","40792000","37833000","62296000",
"9030","Adaptive Biotechnologies Corporation","Private","United States","","","","","","","","",
"7595","Adare Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"3387","Adastra Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"4336","ADC Therapeutics SA","Private","Switzerland","","","","","","","","",
"993","Addex Therapeutics","Public","Switzerland","","","","","","","","",
"8299","Addmedica  SAS","Private","France","","","","","","","","",
"7738","Adenium Biotech ApS","Private","Denmark","","","","","","","","",
"5599","Adenosine Therapeutics, LLC","Private","United States","","","","","","","","",
"803","Aderis Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"5842","Adgero Biopharmaceuticals, Inc.","Private","United States","","","","","","","","",
"467","Adhera Therapeutics, Inc.","Public","United States","1506635","USD","-7737960","-5639714","-15377740","76186","0","0",
"3780","Adial Pharmaceuticals, Inc.","Public","United States","10358873","USD","-3710675","-892458","-6007113","0","0","0",
"5229","ADIENNE Pharma & Biotech","Private","Italy","","","","","","","","",
"3543","Adimab, LLC","Private","United States","","","","","","","","",
"3868","Adimmune Corp.","Public","Taiwan","","","","","","","","",
"6388","Adlai Nortye","Private","China","","","","","","","","",
"4080","ADMA Biologics, Inc.","Public","United States","187259021","USD","-12696515","-35978962","-49409281","4230310","22760560","24931743",
"4013","Admedus Ltd.","Public","Australia","","","","","","","","",
"4106","Adocia SAS","Public","France","","","","","","","","",
"8699","Adrenomed AG","Private","Germany","","","","","","","","",
"3258","Aduro Biotech","Public","United States","100049145","USD","-23671000","-102468000","-96699000","3063000","17239000","16085000",
"4963","Advance Pharmaceutical Company Ltd.","Private","Hong Kong","","","","","","","","",
"3425","Advanced Cancer Therapeutics, Inc.","Private","United States","","","","","","","","",
"853","Advanced Life Sciences Holdings, Inc.","Public","United States","107865","USD","-3289906","-8596129","","0","752853","",
"4945","Advanced Proteome Therapeutics Inc.","Public","Canada","","","","","","","","",
"4692","Advanced Vaccine Therapeutics, Inc.","Public","United States","","","","","","","","",
"757","Advanced Viral Research Corp.","Public","United States","","USD","-593237","-1379816","-1887914","0","0","0",
"4329","Advancell - Advanced In Vitro Cell Technologies, S.A.","Private","Spain","","","","","","","","",
"4314","Advantagene, Inc.","Private","United States","","","","","","","","",
"2647","ADVANZ PHARMA Corp.","Public","Canada","","","","","","","","",
"876","Advaxis, Inc.","Public","United States","28027664","USD","-21729000","-68884000","","1129000","6063000","",
"3766","Advenchen Laboratories, LLC","Private","United States","","","","","","","","",
"9236","Advent Access","Private","Singapore","","","","","","","","",
"4765","Adverum Biotechnologies, Inc.","Public","United States","","","","","","","","",
"4579","Advicenne","Public","France","","","","","","","","",
"3737","Advinus Therapeutics Ltd.","Private","India","","","","","","","","",
"4343","Adynxx, Inc.","Public","United States","","","","","","","","",
"625","Aegera Therapeutics, Inc.","Private","Canada","","","","","","","","",
"7519","AegisCN LLC","Private","United States","","","","","","","","",
"5203","Aeglea BioTherapeutics, Inc.","Public","United States","177559264","USD","-12167000","-27352000","-36422000","0","5205000","5370000",
"7948","Aelis Farma","Private","France","","","","","","","","",
"7792","AELIX Therapeutics","Private","Spain","","","","","","","","",
"207","Aeolus Pharmaceuticals, Inc.","Public","United States","243337","USD","-949000","-2988000","-4082000","13000","2076000","771000",
