"","ApplNo","SubmissionClassCodeID.x","SponsorName","NAME_EDIT","EMPLOYEES","ESTIMATED","Orig_App_Date","SubmissionClassCodeID.y","SubmissionNo","SubmissionStatusDate","ReviewPriority.y","DAY_DELAY","SURVIVAL","NDA","ORIG_PRIORITY","DrugName","ActiveIngredient"
"1",21746,7,"WINDTREE THERAP","WINDTREE THERAP",27,0,2012-03-06,4,1,2012-12-19,"STANDARD",288,1,1,0,"surfaxin","lucinactant"
"2",21876,15,"DUCHESNAY","DUCHESNAY",100,1,2013-04-08,4,2,2013-09-30,"STANDARD",175,1,1,0,"diclegis","doxylamine succinate; pyridoxine hydrochloride"
"3",21883,7,"ALLERGAN SALES LLC","ALLERGAN",16900,0,2014-05-23,4,1,2014-11-20,"PRIORITY",181,1,1,1,"dalvance","dalbavancin hydrochloride"
"4",21936,12,"BOEHRINGER INGELHEIM","BOEHRINGER INGELHEIM",50000,1,2014-09-24,3,3,2016-01-15,"STANDARD",478,1,1,0,"spiriva respimat","tiotropium bromide"
"5",21951,12,"SUN PHARM INDS INC","SUN PHARMA GLOBAL",30000,0,2012-05-25,3,1,2014-07-30,"UNKNOWN",796,1,1,0,"absorica","isotretinoin"
"6",22018,14,"PHARMACARE","ASPEN PHARMACARE",10331,0,2017-03-17,NA,NA,NA,NA,864,0,1,1,"lamivudine and zidovudine","lamivudine; zidovudine"
"7",22063,12,"SHIRE DEV LLC","SHIRE DEV LLC",23906,0,2017-06-20,NA,NA,NA,NA,769,0,1,0,"mydayis","amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate"
"8",22141,14,"MYLAN LABS LTD","MYLAN",35000,0,2018-02-28,19,24,2018-07-10,"STANDARD",132,1,1,1,"cimduo","lamivudine; tenofovir disoproxil fumarate"
"9",22142,14,"MYLAN LABS LTD","MYLAN",35000,0,2018-03-22,NA,NA,NA,NA,494,0,1,1,"symfi","efavirenz; lamivudine; tenofovir disoproxil fumarate"
"10",22175,17,"DIGESTIVE CARE INC","CHIESI USA INC",5300,1,2012-05-17,4,1,2014-01-23,"STANDARD",616,1,1,0,"pertzye","pancrelipase (amylase;lipase;protease)"
"11",22200,12,"ASTRAZENECA AB","ASTRAZENECA",59700,0,2012-01-27,4,5,2013-02-27,"STANDARD",397,1,1,0,"bydureon","exenatide synthetic"
"12",22200,12,"ASTRAZENECA AB","ASTRAZENECA",59700,0,2012-01-27,4,5,2013-02-27,"STANDARD",397,1,1,0,"bydureon pen","exenatide synthetic"
"13",22205,12,"VALEANT PHARMS INTL","BAUSCH AND LOMB",21100,0,2012-02-03,3,1,2013-12-16,"STANDARD",682,1,1,0,"giazo","balsalazide disodium"
"14",22219,12,"ENDO PHARMS INC","ENDO PHARMS INC",6406,0,2014-03-05,3,1,2014-06-19,"UNKNOWN",106,1,1,0,"aveed","testosterone undecanoate"
"15",22222,17,"FOREST LABS INC","FOREST LABS INC",6200,1,2012-03-01,4,1,2013-03-20,"PRIORITY",384,1,1,1,"ultresa","pancrelipase (amylase;lipase;protease)"
"16",22225,7,"ORGANON SUB MERCK","MERCK",69000,0,2015-12-15,3,1,2016-10-24,"STANDARD",314,1,1,1,"bridion","sugammadex sodium"
"17",22247,8,"WYETH PHARMS","PFIZER",92400,0,2013-10-03,3,1,2015-07-23,"STANDARD",658,1,1,0,"duavee","bazedoxifene acetate; estrogens, conjugated"
"18",22252,2,"BAYER HLTHCARE","BAYER HEALTHCARE",99592,0,2012-03-14,2,1,2012-02-13,"STANDARD",-30,1,1,0,"natazia","dienogest; estradiol valerate"
"19",22259,15,"HILL DERMACEUTICALS","HILL DERMACEUTICALS",85,1,2015-09-18,NA,NA,NA,NA,1410,0,1,0,"tolak","fluorouracil"
"20",22271,7,"TAKEDA PHARMS USA","TAKEDA PHARMS USA",27230,0,2013-01-25,4,1,2013-05-30,"STANDARD",125,1,1,0,"nesina","alogliptin benzoate"
"21",22279,14,"BKK PHARMS","BKK PHARMS",0,1,2015-05-14,3,1,2017-01-13,"STANDARD",610,1,1,0,"hycofenix","guaifenesin; hydrocodone bitartrate; pseudoephedrine hydrochloride"
"22",22283,18,"BAYER HEALTHCARE LLC","BAYER HEALTHCARE",99592,0,2013-06-17,3,1,2015-06-11,"STANDARD",724,1,1,0,"zegerid otc","omeprazole; sodium bicarbonate"
"23",22312,15,"APOTEX INC","APOTEX INC",8000,1,2012-01-11,NA,NA,NA,NA,2756,0,1,0,"docetaxel","docetaxel"
"24",22343,14,"AUROBINDO PHARMA LTD","AUROBINDO PHARMA LTD",20000,0,2018-08-15,NA,NA,NA,NA,348,0,1,0,"efavirenz, lamivudine and tenofovir disoproxil fumarate","efavirenz; lamivudine; tenofovir disoproxil fumarate"
"25",22344,15,"AUROBINDO PHARMA LTD","AUROBINDO PHARMA LTD",20000,0,2018-05-15,NA,NA,NA,NA,440,0,1,0,"lamivudine and tenofovir disoproxil fumarate","lamivudine; tenofovir disoproxil fumarate"
"26",22396,12,"JAVELIN PHARMS INC","PFIZER",92400,0,2014-12-23,4,2,2015-05-27,"STANDARD",155,1,1,0,"dyloject","diclofenac sodium"
"27",22407,24,"THERAVANCE INC","THERAVANCE INC",316,0,2013-06-21,NA,NA,NA,NA,2229,0,1,0,"vibativ","telavancin"
"28",22416,7,"SUNOVION PHARMS INC","SUNOVION PHARMS INC",1700,1,2013-11-08,4,2,2015-06-11,"STANDARD",580,1,1,0,"aptiom","eslicarbazepine acetate"
"29",22424,14,"BKK PHARMS","BKK PHARMS",0,1,2015-05-14,3,1,2017-01-13,"STANDARD",610,1,1,0,"flowtuss","guaifenesin; hydrocodone bitartrate"
