NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03942822,Chia Supplementation and Non Alcoholic Fatty Liver Disease,,Completed,No Results Available,Non-Alcoholic Fatty Liver Disease|Dietary Modification,Dietary Supplement: Milled chia seeds,Effect of a chia (Salvia hispanica L.) supplemented diet in patients with non-alcoholic fatty liver|Effect of chia on plasma levels of alpha linolenic acid|Effect of chia on lipid parameters,Instituto Nacional de Cardiologia Ignacio Chavez,All,"30 Years to 70 Years   (Adult, Older Adult)",Not Applicable,40,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,16-980,1-Sep-16,1-Sep-17,1-Sep-17,8-May-19,null,8-May-19,,,https://ClinicalTrials.gov/show/NCT03942822
NCT03936803,Interval Training Versus Electro Acupuncture on Liver Functions in Patients With Non-alcoholic Fatty Liver Disease,,Recruiting,No Results Available,Non-Alcoholic Fatty Liver Disease,Behavioral: aerobic interval training exercise .|Device: electro acupuncture,body mass index|lab investigations,Cairo University,All,30 Years to 55 Years   (Adult),Not Applicable,50,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P.T.REC/012/001579,1-May-17,Jun-19,Jul-19,3-May-19,null,7-May-19,"faculty of physical therapy Cairo university, Cairo, Egypt",,https://ClinicalTrials.gov/show/NCT03936803
NCT03868566,"An Open-Label Study to Assess the Hepatic Protection Effect of SNP-612, in Patients With NAFLD",,Recruiting,No Results Available,NASH - Nonalcoholic Steatohepatitis,Drug: SNP-612 dose1|Drug: SNP-612 dose2|Drug: SNP-612 dose3,Change in serum ALT|Change in serum AST|Change in serum Alk-P|Change in serum γ-GT|Change in GSP|Change in liver fat content as measured by liver fat fraction (FF) with magnetic resonance imaging method.|Change in serum CK-18 fragment levels|Rate of AE/SAE|Rate of AEs leading to discontinuation at end of treatment,Sinew Pharma Inc.,All,"20 Years and older   (Adult, Older Adult)",Not Applicable,54,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SNP-612-202,4-Aug-17,31-Dec-19,31-Dec-19,11-Mar-19,null,13-Mar-19,"Tri-Service General Hospital, Taipei, Taiwan",,https://ClinicalTrials.gov/show/NCT03868566
NCT03791203,Effectiveness and Adherence of Modified Alternate-day Calorie Restriction (MACR) in Non-Alcoholic Fatty Liver Disease,,Completed,No Results Available,Non-Alcoholic Fatty Liver Disease,Behavioral: Calorie restriction (MACR),Change from baseline shear wave elastography (SWE) at 8 weeks|Change from baseline liver steatosis at 8 weeks|Concentration of high-density lipoprotein (HDL)|Concentration of low-density lipoprotein (LDL)|Concentration of triglycerides (TG)|Concentration of total cholesterol (TC)|Concentration of fasting blood sugar (FBS)|Concentration of alanine aminotransferase (ALT)|Concentration of aspartate aminotransferase (AST)|Dietary plan adherence,University of Science Malaysia,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,43,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,304/PPSP/61313173,1-Aug-15,31-Jul-17,1-Oct-17,1-Jan-19,null,1-Jan-19,,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT03791203/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT03791203/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT03791203
NCT03774511,Effects of Exercise on Patients With Nonalcoholic Fatty Liver Disease- A Comparative Randomized Controlled Trial,[PTREC],Completed,No Results Available,Nonalcoholic Fatty Liver Disease|Obesity|Exercise,Other: High-Intensity Interval Exercise,peak oxygen uptake (VO2peak),Ahlia University|Cairo University,All,40 Years to 60 Years   (Adult),Not Applicable,30,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",P.T. REC/012/002146,9-Jul-17,10-Aug-18,10-Dec-18,13-Dec-18,null,13-Dec-18,"Dr Sayed Tanatwy, Giza, Egypt",,https://ClinicalTrials.gov/show/NCT03774511
NCT03738358,Clinical Study of 12-week Trehalose Intake in Patients With Fatty Liver Disease,,Completed,No Results Available,Non-alcoholic Fatty Liver,Dietary Supplement: Trehalose|Other: Placebo,"Change in liver fat content scanned by CT|Change in ALT and AST|Change in homeostatic model assessment-insulin resistance (HOMA-IR)|Change in total cholesterol, LDL, HDL, triglyceride (TG) and free fatty acid|Change in BMI|Change in visceral fat and subcutaneous fat levels|Adverse event (AE)",Samsung Medical Center,All,"19 Years to 79 Years   (Adult, Older Adult)",Not Applicable,39,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",2016-02-015,30-Jun-16,20-Mar-18,20-Mar-18,12-Nov-18,null,30-Jan-19,,,https://ClinicalTrials.gov/show/NCT03738358
NCT03725631,"Non-invasive Evaluation of Liver Fibrosis, Steatosis, and NASH in NAFLD",,Recruiting,No Results Available,Nonalcoholic Fatty Liver|Nonalcoholic Steatohepatitis,Diagnostic Test: Imaging and serologic evaluation of fibrosis and steatosis,Development of scoring system for diagnosis of NASH|Evaluation of hepatic fibrosis using fibroscan|Evaluation of hepatic steatosis using fibroscan|Evaluation of hepatic fibrosis using MRI|Evaluation of hepatic steatosis using MRS|Evaluation of hepatic fibrosis using serologic marker,Korea University Guro Hospital,All,"19 Years and older   (Adult, Older Adult)",Not Applicable,150,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,2016GR0302,1-Sep-16,31-Aug-19,31-Aug-19,31-Oct-18,null,31-Oct-18,"Korea University Guro Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03725631
NCT03648086,Intestinal Microbiota Transplantation for Nonalcoholic Fatty Liver Disease,NAFLD,Recruiting,No Results Available,Non-alcoholic Fatty Liver Disease,Other: intestinal microbiota transplantation,The change of CT ratio of liver/spleen|biochemical indicators|Fibroscan E value|Changes of gut microbiota,Zhongshan Hospital Xiamen University,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2017005,14-Nov-17,Oct-20,Nov-20,27-Aug-18,null,27-Aug-18,"Zhongshan Hospital Affiliated to Xiamen University, Xiamen, Fujian, China","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT03648086/ICF_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT03648086/Prot_001.pdf",https://ClinicalTrials.gov/show/NCT03648086
NCT03614039,Effect of Probiotic and Smectite Gel on NAFLD,,Completed,No Results Available,Non-Alcoholic Fatty Liver Disease|Fatty Liver|Liver Diseases|Digestive System Diseases|Type2 Diabetes,"Dietary Supplement: ""Symbiter Forte""|Dietary Supplement: Placebo",fatty liver index (FLI)|liver stiffness (LS)|ALT|AST|γ-GT|Total Cholesterol (TC)|Tryglicerides (TG)|LDL-Cholesterol (LDL-C)|VLDL-Cholesterol (VLDL-C)|HDL-Cholesterol (HDL-C)|cytokines levels,Nazarii Kobyliak|Bogomolets National Medical University,All,"20 Years to 75 Years   (Adult, Older Adult)",Not Applicable,50,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",ENDO-3,15-Sep-15,15-Mar-16,20-Apr-16,3-Aug-18,null,7-Aug-18,,,https://ClinicalTrials.gov/show/NCT03614039
NCT03536650,Effect of DMR in the Treatment of NASH,DMR_NASH_001,Recruiting,No Results Available,NASH - Nonalcoholic Steatohepatitis,Device: DMR,"Safety of duodenal mucosal resurfacing characterized by the incidence of all Adverse Device Effects (ADEs), and subsequent adverse events [ Time Frame: 12 months ] in patients with NASH.|Change in Magnetic Resonance Fat Fraction (MRFF) from baseline in the following 6 months in DMR subjects.|Change in NAS score from baseline in the following 12 months in DMR subjects.|Change in Fibrosis-4 Index for Liver Fibrosis (FIB-4) from baseline in the following at 6 months in DMR subjects|Change in Fibrosis-4 Index for Liver Fibrosis (FIB-4) from baseline in the following at 12 months in DMR subjects|Change in Transient Elastography using Firboscan from baseline in the following at 6 months in DMR subjects|Change in Transient Elastography using Firboscan from baseline in the following at 12 months in DMR subjects|Change in Magnetic Resonance Fat Fraction (MRFF) from baseline in the following 12 months in DMR subjects.|Change in transaminases levels from baseline in the following 6 months in DMR subjects|Change in transaminases levels from baseline in the following 12 months in DMR subjects|Change in Insulin resistance measured by oral glucose tolerance test (OGTT) from baseline in the following 6 months in DMR subjects|Change in Insulin resistance measured by oral glucose tolerance test (OGTT) from baseline in the following 12 months in DMR subjects|Change in stage of fibrosis from baseline in the following 12 months in DMR subjects","Erasme University Hospital|Fractyl Laboratories, Inc.",All,"28 Years to 75 Years   (Adult, Older Adult)",Not Applicable,12,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,P2017/302,8-Nov-17,30-Jun-18,31-Dec-19,25-May-18,null,28-May-18,"Erasme Hospital, Brussels, Belgium",,https://ClinicalTrials.gov/show/NCT03536650
