NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03912571,Sleep Disordered Breathing and Alzheimer's Disease Biomarkers in Normal Aging and Mild Cognitive Impairment,,Recruiting,No Results Available,Sleep Disorder,Diagnostic Test: Structural 3T MRI|Diagnostic Test: MRI Based Perfusion Imaging|Diagnostic Test: VR-CO2 MRI Scans,Decreased cerebral blood flow (CBF)|Measure of vasoreactivity to CO2 (VRCO2)|Increase in cortical AB plaque burden,New York University School of Medicine,All,"55 Years to 90 Years   (Adult, Older Adult)",Not Applicable,95,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,12-00041,13-Nov-11,May-19,May-19,11-Apr-19,null,11-Apr-19,"NYU Langone Medical Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03912571
NCT03840759,Short-term Effects of an Inpatient Geriatric Consultation Team on Geriatric Syndrome Patients,,Completed,No Results Available,Depression|Senile Dementia,Other: inpatient geriatric consultation team,readmission rate|mortality rate,Chang Gung Memorial Hospital,All,65 Years and older   (Older Adult),Not Applicable,59,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CMRPG8F1571,1-Jan-17,31-Dec-17,31-Dec-17,15-Feb-19,null,15-Feb-19,,,https://ClinicalTrials.gov/show/NCT03840759
NCT03794141,Genetic Information as a Life Style Change Motivator,APOE4MOT,"Active, not recruiting",No Results Available,"Health Behavior|Alzheimer Disease, Protection Against",Behavioral: information on the risk gene status|Behavioral: life style advise,"Number of participants with good quality of dietary fat|Dietary habits, number of participants|Food choice questionnaire, health and taste attitude|Food involvement and Food mavenism, scale 1-5|Health concern, scale 1-9|Life-orientation test, scale 1-5|Locus of Control, state-trait anxiety inventory, Three-Factor Eating Questionnaire (TFEQ) scale 1-4|weight kg|height m|Waist circumference, cm|Visceral fat level (1-30)|blood pressure, mmHg|Serum lipid levels mmol/L|Blood glucose levels, mmol/L|Serum lipid peroxidation, MDA/µM|Serum Sensitive C reactive protein, mg/L|Serum Hemoglobin, g/L|Serum Alkaline phosphatase, U/L|Serum Alanine aminotransferase, U/L|Serum haptoglobin, g/L|Plasma thyrotropin, mU/L|serum APOE protein, mg/L|serum brain-derived neurotrophic factor, ng/ml|serum Fatty acids, g/100g fatty acids|serum Carotenoids, retinol and α-tocopherol, Plasma total phenolics ng/µl|Blood cell count|APOE and BDNF genotype|Body mass index",Natural Resources Institute Finland|University of Turku|University of Eastern Finland|Academy of Finland,All,40 Years to 60 Years   (Adult),Not Applicable,333,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,41007-00040400,2-Jan-17,30-Mar-19,31-Jul-19,4-Jan-19,null,4-Jan-19,,,https://ClinicalTrials.gov/show/NCT03794141
NCT03786510,A Study on the Effectiveness of Multidomain Intervention Program for Reducing Risks of Dementia,,Completed,No Results Available,Alzheimer Disease,Behavioral: Active control|Behavioral: Intensive + Maintenance program|Behavioral: Intensive program only,Changes from baseline Australian National University Alzheimer's Disease Index (ANU-ADRI) at 4 weeks and 24 week|Changes from baseline Short Physical Performance Battery (SPPB) at 4 weeks and 24 week|Changes from baseline total score in the CERAD neuropsychological battery at 4 weeks and 24 week|Changes from baseline Color Word Stroop Test (CWST) at 4 weeks and 24 week|Changes from baseline Seoul-Instrumental Activities of Daily Living (S-IADL) at 4 weeks and 24 week|Changes from baseline EuroQol Five-Dimensional Questionnaire (EQ-5D) at 4 weeks and 24 week|Changes from baseline Motivation to Change Lifestyle and Health Behaviors for Dementia Risk Reduction Scale (MCLHB-DRR) scale at 4 weeks and 24 week,Seoul National University Hospital|Seoul Metropolitan Government,All,"60 Years and older   (Adult, Older Adult)",Not Applicable,32,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention,MDP_AD,1-Nov-16,31-Jul-17,31-Jul-17,25-Dec-18,null,25-Dec-18,"Seoul National University College of Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03786510
NCT03770182,Brain Stimulation for Neurological Patients,,Recruiting,No Results Available,Alzheimer Disease,Device: NEUROLITH,Consortium to Establish a Registry for Alzheimer's Disease (CERAD) - Corrected Total Score|Alzheimer's Disease Assessment Scale (ADAS)|Neuropsychological Test Battery Vienna (NTBV)|CERAD|Clock drawing test|Forgetfulness assessment inventory (FAI)|Instrumental Activities of Daily Living Scale (IADL) - Patient|IADL- Patient|Beck Depression Inventory (BDI)|Prosopagnosia index (PI20)|Neuropsychiatric Inventory (NPI) (Care Taker)|IADL (Care Taker)|anatomical Magnetic Resonance Imaging (MRI)|functional Magnetic Resonance Imaging (fMRI),Storz Medical AG|Medical University of Vienna,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,60,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",TPS-AD-Vienna,24-Jan-17,1-Jan-20,1-Jan-20,10-Dec-18,null,13-Dec-18,"Medical University of Vienna, Vienna, Austria",,https://ClinicalTrials.gov/show/NCT03770182
NCT03752463,NMDA Enhancer for the Treatment of Mild Alzheimer's Disease,,Recruiting,No Results Available,Alzheimer Disease,Drug: DAOI-A group|Drug: DAOI-B group|Drug: DAOI-C group|Drug: Placebo oral capsule,"Change from baseline in the Alzheimer's disease assessment scale - cognitive subscale at week 8, 16 and 24|Change from baseline in Clinician's Interview-Based Impression of Change plus Caregiver Input at week 8, 16 and 24|Change from baseline in speed of processing (Category Fluency) at week 24|Change from baseline in working memory (Wechsler Memory Scale, Spatial Span) at week 24|Change from baseline in verbal learning and memory tests (Wechsler Memory Scale, Word Listing) at week 24","Chang Gung Memorial Hospital|Ministry of Science and Technology, Taiwan",All,"50 Years to 100 Years   (Adult, Older Adult)",Phase 2,160,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",105-3412C,22-May-15,31-Dec-19,31-Dec-19,26-Nov-18,null,26-Nov-18,"Kaohsiung Chang Gung Memorial Hospital, Kaohsiung, Taiwan",,https://ClinicalTrials.gov/show/NCT03752463
NCT03741543,Learning and Coping With Early Stage Dementia,,"Active, not recruiting",No Results Available,Dementia|Alzheimer Disease|Vascular Dementia,Other: A 12-week health promotion course,The users experiences from an educative intervention in early-stage dementia|Change in cognitive function|Change in depressive symptoms|Change in self-rated health|Change in managing personal activities of daily life|Change in managing instrumental activities of daily life|Change in neuropsychiatric symptoms|Change in carer stress/burden,Helse Stavanger HF|Norwegian Extra Foundation for Health and Rehabilitation|Nasjonalforeningen for folkehelsen,All,65 Years and older   (Older Adult),Not Applicable,100,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,sus2018mk01,3-Mar-14,14-Jun-21,31-Dec-21,15-Nov-18,null,15-Nov-18,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/43/NCT03741543/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT03741543
NCT03734289,Improving Family Quality of Life Through Training to Reduce Care-Resistant Behaviors by People With AD and TBI,,Recruiting,No Results Available,Dementia|Traumatic Brain Injury,Behavioral: Caregiver Coaching,Change in Zarit Burden Interview|Change in Dementia Quality of Life (DEMQOL/DEMQOL proxy)|Change in Neuropsychiatric Inventory|Change in Family Quality of Life (Dementia or TBI versions)|Change in Connor-Davidson Resilience Scale (CD-RISC),University of Alabama at Birmingham,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,150,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,IRB-160819003|W81XWH-16-1-0527,1-Feb-17,31-Aug-19,31-Dec-19,7-Nov-18,null,7-Nov-18,"University of Alabama at Birmingham, Birmingham, Alabama, United States",,https://ClinicalTrials.gov/show/NCT03734289
NCT03732053,The Effectiveness of Global Postural Reeducation on Alzheimer Disease Patients,GPR,Completed,No Results Available,Alzheimer's Type Dementia|Cognitive Decline|Postural; Strain,Other: GPR Intervention Research group,Cognitive Abilities Measurement|Quality of Life in Alzheimer's disease (QoL-AD) Questionnaire|Geriatric Depression Scale (GDS) Questionnaire|Barthel Index (BI)|Neuropsychiatric Inventory (NPI)|Tinetti Scale (TS),Universidad Católica San Antonio de Murcia,All,"40 Years to 95 Years   (Adult, Older Adult)",Not Applicable,135,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,BJ8674287,5-Dec-16,10-Mar-17,3-Jul-17,6-Nov-18,null,15-Nov-18,,,https://ClinicalTrials.gov/show/NCT03732053
NCT03690193,Feasibility and Efficacy of the Ketogenic Diet in Alzheimer's Disease,KDRAFT,Completed,No Results Available,Alzheimer Disease,Behavioral: Ketogenic Diet,Proportion of days positive for urinary ketone production|Change in blood ketone levels induced by ketogenic diet|Change in cognitive performance on the Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS-Cog)|Change in cognitive performance on the Mini-Mental State Exam (MMSE)|Dietary intake characterization prior to and after ketogenic diet initiation,University of Kansas Medical Center,All,"Child, Adult, Older Adult",Not Applicable,15,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,13796,3-Dec-13,6-Jan-17,6-Jan-17,1-Oct-18,null,1-Oct-18,,,https://ClinicalTrials.gov/show/NCT03690193
