NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03950180,Assessing The Impact Of Incorporating Charlson Comorbidity Scores On Patient Anxiety And Satisfaction,,Completed,No Results Available,Prostate Cancer,Other: Prostate Cancer Comorbidity Index (PCCI) score,Traditional Decisional Conflict Scale (DCS)|The Modified 18-item Memorial Anxiety Scale for Prostate Cancer,Benaroya Research Institute|Virginia Mason Hospital/Medical Center|Axio Research Corporation,Male,"18 Years and older   (Adult, Older Adult)",Not Applicable,277,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other,IRB13054,12-Jul-13,27-Feb-15,27-Feb-15,15-May-19,null,15-May-19,,,https://ClinicalTrials.gov/show/NCT03950180
NCT03950661,Walking Green: The Effects of Walking in Forested and Urban Areas,NUWG,Completed,No Results Available,Mood|Stress|Anxiety|Depression|Obesity|Health Behavior|Physical Activity,Other: Walking,Psychological Effects - Mood|Psychological Effects - Anxiety|Psychological Effects - Attention|Psychological Effects - Depression|Physiological Effects - Blood Glucose|Physiological Effects - Salivary Cortisol|Physiological Effects - Blood|Physiological Effects - Heart Rate Variation,Northwestern University,All,18 Years to 35 Years   (Adult),Not Applicable,41,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STU00201604,1-Jun-16,14-Aug-17,8-Dec-17,15-May-19,null,16-May-19,"Northwestern University, Evanston, Illinois, United States",,https://ClinicalTrials.gov/show/NCT03950661
NCT03930095,Efficacy of an Acceptance-based Group Behavioral Therapy for Generalized Anxiety Disorder.,ABBT-GAD,Completed,No Results Available,Generalized Anxiety Disorder,Behavioral: Acceptance-based Behavior Therapy|Behavioral: Non-directive Supportive Therapy,"Change in the Depression, Anxiety and Stress Scales|Change in the Hamilton Anxiety Scale|Change in the Penn State Worry Questionnaire (Meyer, 1990)|Change in the Clinical Global Impressions (CGI; Guy, 1976)|Change in the Depression sub scale of Depression, Anxiety and Stress Scales|Change in the abridged version of the quality of life inventory - World Health Organization Quality of Life ( WOQOL-BREF - Berlim, Pavanello, Caldieraro, & Fleck, 2005)|Change in the Sheehan Disability Scale (Sheehan, Harnett-Sheehan, & Raj, 1996)|Change in the Acceptance and Action Questionnaire score|Change in the Five Facets of Mindfulness Questionnaire score|Change in the Credibility and Expectancy Questionnaire score|Change in the Mental Health Continuum - Short Form - score",University of Sao Paulo General Hospital,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,92,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,51363615.4.0000.0068,6-Feb-16,6-Aug-16,6-Aug-16,29-Apr-19,null,29-Apr-19,"Department and Institute of Psychiatry - FMUSP, São Paulo, Sao Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT03930095
NCT03925259,Dismantling the Efficacy of Self-As-Context During Acceptance and Commitment Therapy,,Completed,No Results Available,"Depression, Anxiety",Behavioral: Acceptance and Commitment Therapy,"Change in psychological flexibility abilities via the Acceptance and Action Questionnaire II (AAQ-II; Bond et al., 2011).|Change in decentering abilities via the Experiences Questionnaire (EQ; Fresco, Moore, van Dulmen, Segal, Teasdale, Ma, & Williams, 2007).",University of Sheffield,All,"16 Years and older   (Child, Adult, Older Adult)",Not Applicable,16,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,144363,1-Jan-12,1-Jan-13,1-Jun-14,24-Apr-19,null,24-Apr-19,"Clinical Psychology Unit, Department of Psychology, Uni of Sheffield, Sheffield, Yorkshire, United Kingdom",,https://ClinicalTrials.gov/show/NCT03925259
NCT03924921,The Effectiveness of a Relaxation Technique on the Quality of Life and Symptoms in People Living With HIV,,Completed,No Results Available,HIV,Other: autogenic training,PROQOL-HIV questionnaire|Pittsburgh Sleep Quality Index (PSQI)|Fatigue Severity Scale (FSS)|Brief Pain Inventory|State -Trait Anxiety Inventory (STAI)|PHQ-9,Université de Montréal|Fonds de la Recherche en Santé du Québec,All,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,62,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care",2016-5940:PRG,Apr-15,Jun-18,Dec-18,23-Apr-19,null,23-Apr-19,"CHUM, Montréal, Quebec, Canada|CUSM, Montréal, Quebec, Canada",,https://ClinicalTrials.gov/show/NCT03924921
NCT03921255,Cognitive Bias Modification for Thought-Action Fusion,TAF,Recruiting,No Results Available,Obsessive-Compulsive Disorder,Other: Cognitive Bias Modification,"Change in Thought-Action Fusion Scale (TAFS) across Pre-training, Post-training, and 1-Month follow-up|Change in Primary Obsession Evaluation of TAF Scale (POETS) across Pre-training, Post-training, and 1-Month follow-up|Change in Revised Obsessional Intrusions Inventory - Distress (ROII-Distress) across Pre-training, Post-training, and 1-Month follow-up","University of Wisconsin, Milwaukee",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,66,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",TAF Extended,10-Apr-16,31-Aug-19,31-Aug-19,19-Apr-19,null,19-Apr-19,"UWM Anxiety Disorders Laboratory, Milwaukee, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT03921255
NCT03917875,Computer-Delivered PFI for Anxiety Sensitivity/Alcohol Intervention for Hazardous Drinkers With Elevated Anxiety Sensitivity,,Recruiting,No Results Available,Alcohol Drinking|Anxiety|Coping Behavior,Behavioral: Personalized feedback intervention,Motivation for change|Drinks per occasion|Anxiety Sensitivity|Drinking to cope,University of Houston,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,130,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,STUDY00001045,1-Sep-16,Sep-19,Sep-19,17-Apr-19,null,17-Apr-19,"University of Houston, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03917875
NCT03882541,Could Music be an Alternative to Sedation in Patients Treated Total Knee Arthroplasty With Regional Anesthesia?,,Completed,No Results Available,Anxiety|Surgery|Drug Toxicity|Anesthesia|Pain,Other: Music therapy|Drug: Sedation with midazolam,Anxiety State-Trait Anxiety Inventory (STAI)|Pain Vale Numerical Scale (VNS),Consorci Sanitari de l'Anoia,All,"50 Years to 85 Years   (Adult, Older Adult)",Not Applicable,85,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Other,PRCSA0077,8-Jan-17,30-Jan-18,30-Jan-18,20-Mar-19,null,20-Mar-19,,,https://ClinicalTrials.gov/show/NCT03882541
NCT03874442,"The Effectiveness of a Preoperative, Interactive Game ""SERES Pain in Children"".",,Completed,No Results Available,Ambulatory Surgery in Children,Other: CliniPup serious game,Preoperative anxiety|Postoperative pain|User experience and satisfaction|parental anxiety,Universitaire Ziekenhuizen Leuven,All,6 Years to 10 Years   (Child),Not Applicable,20,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,S58541,22-Feb-16,26-Apr-16,26-Apr-16,14-Mar-19,null,14-Mar-19,,,https://ClinicalTrials.gov/show/NCT03874442
NCT03874611,Electrophysiology of Brain Activity During Electrode Implantation in Patients Treated With Deep Brain Stimulation,LFP-DBS,Recruiting,No Results Available,Parkinson Disease|Obsessive-Compulsive Disorder|Epilepsy|Depression,Other: electrophysiological data from DBS,Number of functional markers derived from electrophysiological signals recorded during cognitive tests.|cognitive and sensorimotor tasks|functional atlas of basal ganglia|number of electrophysiological responses,"University Hospital, Grenoble",All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,125,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,38RC11.242,13-Apr-11,31-Mar-21,31-Mar-21,14-Mar-19,null,14-Mar-19,"CHU Grenoble-Alpes, Grenoble, France",,https://ClinicalTrials.gov/show/NCT03874611
NCT03865459,The Effect of Watching Relaxing Video During Cystoscopy,,Completed,No Results Available,Pain|Anxiety|Urological Nursing|Lower Urinary Tract Symptoms,Other: Video group,change on pain intensity as measured by Visual Analog Scale|score change on anxiety level as measured by State-Trait Anxiety Inventory,Saglik Bilimleri Universitesi Gulhane Tip Fakultesi,Female,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,46418926,1-Dec-17,22-Mar-18,1-Jun-18,6-Mar-19,null,12-Mar-19,"University of Health Sciences, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT03865459
