NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03949374,Clinical Trial to Evaluate Efficacy and Safety of ROVASRO 10mg Versus CRESTOR 10mg in Hypercholesterolemic Patients,,Completed,No Results Available,Hypercholesterolemia|Dyslipidemias,"Drug: CRESTOR, reference formulation of rosuvastatin|Drug: ROVASRO, generic formulation of rosuvastatin",Percentage change in the level of LDL-C|Target achievement rate in the level of LDL-C|Change in biochemical parameters : total cholesterol (mg/dL)|Change in biochemical parameters : triglyceride (mg/dL)|Change in biochemical parameters : high-density lipoprotein-cholesterol(HDL-C)(mg/dL)|Change in biochemical parameters : apolipoprotein B(mg/dL)|Change in biochemical parameters : apolipoprotein A1(mg/dL)|Change in biochemical parameters : high sensitivity C-reactive protein (hsCRP)(mg/L),Yonsei University,All,"19 Years to 80 Years   (Adult, Older Adult)",Phase 4,126,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,4-2015-0730,23-Oct-15,16-Apr-18,1-Jun-18,14-May-19,null,14-May-19,"Division of Cardiology, Cardiovascular Center, Severance Hospital, Yonsei University College of Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03949374
NCT03934320,Improving Identification of Familial Hypercholesterolaemia in Primary Care (FAMCAT),FAMCAT,Enrolling by invitation,No Results Available,Familial Hypercholesterolemia,Other: FAMCAT,Detection of genetically confirmed new FH cases using case identification tool (FAMCAT)|Acceptability of FAMCAT|Appropriateness of FAMCAT|Usability of FAMCAT|Self-reported anxiety measures for use in a future trial|Self-reported lifestyle change measures for use in a future trial|Beliefs about predisposition to coronary heart disease|Cost-effective FAMCAT threshold to identify genetically confirmed FH,"University of Nottingham|Newcastle University|University College, London|University of Manchester",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,400,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,16090|332,12-Jun-17,31-Jul-20,31-Jul-20,1-May-19,null,1-May-19,"Division of Primary Care, University of Nottingham, Nottingham, Nottinghamshire, United Kingdom",,https://ClinicalTrials.gov/show/NCT03934320
NCT03916016,Sí Texas Hope Family Health Center,,Completed,No Results Available,Chronic Disease|Hypertension|Diabetes|Hypercholesterolemia|Depression|Obesity,Behavioral: Enhanced Integrated Behavioral Health Care|Behavioral: Usual Care,Blood Pressure|Body mass index|Depressive Symptoms|Blood glucose concentration,"Health Resources in Action, Inc.|Methodist Healthcare Ministries of South Texas, Inc.|Social Innovation Fund",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,585,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,100002,9-Dec-15,29-Mar-18,29-Mar-18,16-Apr-19,null,22-Apr-19,,,https://ClinicalTrials.gov/show/NCT03916016
NCT03885921,Safety and Tolerability Study of Ezetimibe (SCH 058235/MK-0653) Plus Atorvastatin or Simvastatin in Homozygous Familial Hypercholesterolemia (P01417/MK-0653-019),,Completed,No Results Available,Hypercholesterolemia,Drug: Ezetimibe|Drug: Atorvastatin|Drug: Simvastatin,Number of Participants Who Experience an Adverse Event (AE)|Number of Participants Who Discontinue Study Treatment Due to an Adverse Event (AE)|Mean Percent Change from Baseline in Low-density-lipoprotein Cholesterol (LDL-C)|Mean Percent Change from Baseline in Total Cholesterol (TC)|Mean Percent Change from Baseline in High-density-lipoprotein Cholesterol (HDL-C)|Mean Percent Change from Baseline in Triglycerides (TG),Merck Sharp & Dohme Corp.,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,44,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",P01417|MK-0653-019,25-Oct-00,8-Jul-03,8-Jul-03,22-Mar-19,null,22-Mar-19,,,https://ClinicalTrials.gov/show/NCT03885921
NCT03884452,Ezetimibe (SCH 58235) Taken With Either Atorvastatin or Simvastatin in Participants With Familial Hypercholesterolemia (MK-0653-018),,Completed,No Results Available,Familial Hypercholesterolemia,Drug: Atorvastatin|Drug: Simvastatin|Drug: Ezetimibe|Drug: Placebo for Ezetimibe,Percent change from baseline in Low Density Lipoprotein Cholesterol (LDL-C) measured directly|Percentage of participants with an Adverse Event (AE)|Percent change from baseline in calculated LDL-C|Percent change from baseline in Total Cholesterol (TC)|Percent change from baseline in Triglycerides (TG)|Percent change from baseline in High-density-lipoprotein cholesterol (HDL-C)|Percent change from baseline in High-density-lipoprotein 2 cholesterol (HDL2-C)|Percent change from baseline in High-density-lipoprotein 3 cholesterol (HDL3-C)|Percent change from baseline in Apolipoprotein A-I (Apo A-I)|Percent change from baseline in Apolipoprotein B (Apo B)|Percent change from baseline in Lipoprotein(a) [Lp(a)],Merck Sharp & Dohme Corp.,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,50,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P01030|MK-0653-018,3-May-00,24-May-01,24-May-01,21-Mar-19,null,21-Mar-19,,,https://ClinicalTrials.gov/show/NCT03884452
NCT03885661,Vascepa to Accelerate Lipoprotein Uptake and Elimination,VALUE,"Active, not recruiting",No Results Available,Lipid Disorder|Triglycerides High|Dyslipidemias,Drug: Icosapent Ethyl 1000 MG [Vascepa],Change in VLDL-apoB100 production rate,University of Pennsylvania|Amarin Pharma Inc.,All,"21 Years to 75 Years   (Adult, Older Adult)",Phase 1,null,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Other",823489|AMR-01-01-0024,11-Jan-16,Dec-19,Dec-19,21-Mar-19,null,21-Mar-19,"Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03885661
NCT03882892,"Long-Term Safety and Tolerability of Ezetimibe (SCH 58235, MK-0653) With Atovastatin (P02154, MK-0653-017)",,Completed,No Results Available,Hypercholesterolemia,Drug: Ezetimibe|Drug: Atovastatin|Drug: Placebo,Percentage of Participants Experiencing ≥1 Adverse Event (AE)|Percentage of Participants Discontinuing from Study Treatment due to an Adverse Event (AE)|Mean Percent Change from Baseline in Low-Density Lipoprotein Cholesterol (LDL-C)|Mean Percent Change from Baseline in High-Density Lipoprotein Cholesterol (HDL-C)|Mean Percent Change from Baseline in Triglyceride Levels|Mean Percent Change from Baseline in Total Cholesterol (TC)|Mean Percent Change from Baseline in Calculated Low-Density Lipoprotein Cholesterol (LDL-C),Merck Sharp & Dohme Corp.,All,"18 Years to 86 Years   (Adult, Older Adult)",Phase 3,400,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P02154|MK-0653-017,2-Feb-01,8-Aug-02,8-Aug-02,20-Mar-19,null,27-Mar-19,,,https://ClinicalTrials.gov/show/NCT03882892
NCT03882905,"A Study of SCH 58235 (Ezetimibe) When Added to Ongoing Therapy With a Statin in Participants With Primary Hypercholesterolemia, Known Coronary Heart Disease, or Multiple Cardiovascular Risk Factors (P02173)",,Completed,No Results Available,Primary Hypercholesterolemia,Drug: Ezetimibe|Drug: Placebo|Drug: Simivastatin|Drug: Statin,Percentage Change from Baseline in LDL-C: Base Study|Percentage Participants with Consecutive Elevations ≥3 x Upper Limit of Normal (ULN) in Aspartate Aminotransferase (AST) or Alanine Aminotransferase (ALT): Extension|Percentage of Participants Achieving LDL-C National Cholesterol Education Program (NCEP) Adult Treatment Program II (ATP II) Target Levels: Base Study|Percentage Change from Baseline in Total Cholesterol (TC) : Base Study|Percentage Change from Baseline in Triglycerides (TG): Base Study|Percentage Change from Baseline in High-density Lipoprotein-cholesterol (HDL-C) : Base Study|Percentage Change from Baseline in Non-HDL-C: Base Study|Percentage Change from Baseline in Apolipoprotein B (apoB) : Base Study|Percentage Change from Baseline in Apolipoprotein A-I (Apo A-I) : Base Study|Percentage Change from Baseline in Apolipoprotein A-II (Apo A-II) : Base Study|Percentage Change from Baseline in LDL-C:HDL-C Ratio: Base Study|Percentage Change from Baseline in Total-C:HDL-C Ratio: Base Study|Change from Baseline in C-reactive Protein (CRP): Base Study|Percentage Change from Baseline in LDL-C: Extension,Merck Sharp & Dohme Corp.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,769,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P02173|MK-0653-001|SCH 58235 P02173,31-Jan-01,27-Jul-01,27-Jul-01,20-Mar-19,null,20-Mar-19,,,https://ClinicalTrials.gov/show/NCT03882905
NCT03882996,"A Long-term Safety and Tolerability Study of Ezetimibe Plus Atorvastatin in Participants With Coronary Heart Disease, Multiple Risk Factors, or Hypercholesterolemia Not Controlled by Atorvastatin (P01418/MK-0653-032)",,Completed,No Results Available,Hypercholesterolemia,Drug: Ezetimibe|Drug: Atorvastatin,Number of participants who experienced an adverse event|Number of participants who discontinued study drug due to an adverse event|Percentage of participants achieving target LDL-C level (≤100 mg/dL)|Change from baseline in LDL-C levels|Change from baseline in HDL-C levels|Change from baseline in triglyceride levels,Merck Sharp & Dohme Corp.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,432,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,P01418|MK-0653-032,6-Oct-00,4-Feb-03,4-Feb-03,20-Mar-19,null,20-Mar-19,,,https://ClinicalTrials.gov/show/NCT03882996
NCT03881657,Reverse Colocated Integrated Care Intervention Among Persons With Severe Persistent Mental Illness at US-Mexico Border,,Completed,No Results Available,Mental Illness Persistent|Chronic Disease|Hypertension|Diabetes|Hypercholesterolemia|Depression|Obesity,Behavioral: Reverse Colocated Integrated Care|Behavioral: Usual Care,Blood pressure|Blood glucose concentration|Body mass index|Total cholesterol|Depressive symptoms|Life functioning,"Health Resources in Action, Inc.|Methodist Healthcare Ministries of South Texas, Inc.|Social Innovation Fund",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,416,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,100001,24-Nov-15,22-Aug-17,22-Aug-17,19-Mar-19,null,19-Mar-19,,,https://ClinicalTrials.gov/show/NCT03881657
