NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03942471,Mindfulness for Adolescents With Type 1 Diabetes,,Completed,No Results Available,Type 1 Diabetes Mellitus,Behavioral: Mindfulness Based Stress Reduction,Change in Mindful Attention Awareness Measurements after Mindfulness Training|Change in Diabetes Quality of Life: DQOL-Y Measurements after Mindfulness Training|Change in HbA1c Measurements after Mindfulness Training,Duquesne University,All,"12 Years to 19 Years   (Child, Adult)",Not Applicable,65,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,10/14/2015,14-Oct-15,1-Oct-18,5-Jan-19,8-May-19,null,8-May-19,,"""Informed Consent Form: Parental Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT03942471/ICF_000.pdf|""Informed Consent Form: Consent Form Amended"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT03942471/ICF_001.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT03942471/Prot_002.pdf",https://ClinicalTrials.gov/show/NCT03942471
NCT03920397,Mesenchymal Stem Cells in Patients With Type 1 Diabetes Mellitus,,Enrolling by invitation,No Results Available,Type 1 Diabetes Mellitus,Biological: Infusion of adipose tissue-derived stem/stromal cells and oral Cholecalciferol supplementation,Pancreatic β-cell function after an adipose tissue-derived stem/stromal cells infusion|Glycemic control after an adipose tissue-derived stem/stromal cells|Oral cholecalciferol 2000UI/day supplementation,Universidade Federal do Rio de Janeiro,All,"16 Years to 35 Years   (Child, Adult)",Not Applicable,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Nutro_MesenchymalStemCells_DM1,1-Mar-15,1-Mar-20,1-Dec-25,18-Apr-19,null,23-Apr-19,"Clementino Fraga Filho University Hospital of Rio de Janeiro, Rio de Janeiro, Brazil",,https://ClinicalTrials.gov/show/NCT03920397
NCT03916601,"Comparison of Exposure and Activity of SAR341402 Mix 70/30 to NovoLog Mix 70/30, NovoMix 30 and SAR341402 Rapid-acting Solution in Patients With Type 1 Diabetes Mellitus",,Completed,No Results Available,Type 1 Diabetes,Drug: SAR341402|Drug: Insulin Aspart,"(Cohort 1) Assessment of PK parameter: Maximum insulin concentration (INS-Cmax)|(Cohort 1) Assessment of PK parameter: Area under the insulin concentration time curve (INS-AUClast)|(Cohort 2) Assessment of PK parameters: Area under the insulin concentration time curve from 0 to 4 hours post administration (INS-AUC0-4H)|(Cohort 2) Area under the insulin concentration time curve from 4 to 12 hours post administration (INS-AUC4-12H)|(Cohort 2) Assessment of PK parameter: Maximum insulin concentration (INS-Cmax)|Assessment of PK parameter: Area under the insulin concentration time curve from 0 to infinity (INS-AUC)|Assessment of PK parameter: Area under the insulin concentration time curve for fractional periods post administration (INS-AUC0-4H, INS-AUC0-24H, INS-AUC4-24H)|Assessment of PK parameter: Time to INS-Cmax|Assessment of PK parameter: Half-life (t1/2)|Assessment of PD parameter: GIR versus time curve from 0 to 24 hours post administration (GIR-AUC0-24H)|Assessment of PD parameter: Maximum smoothed body weight standardized glucose infusion rate (GIRmax)|Assessment of PD parameter: Time to GIRmax (GIR-tmax)|Assessment of PK parameter: Time to Cmax (INS-tmax)|Assessment of PD parameter: The area under the body weight standardized glucose infusion rate (GIR) versus time curve from 0 to 4 hours post administration (GIR-AUC0-4H)|Assessment of PD parameter: The area under the body weight standardized glucose infusion rate (GIR) versus time curve from 4 to 12 hours post administration (GIR-AUC4-12H)",Sanofi,All,18 Years to 64 Years   (Adult),Phase 1,52,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",PDY15084|2017-002482-22|U1111-1197-7984,13-Dec-17,22-Mar-18,22-Mar-18,16-Apr-19,null,16-Apr-19,"Investigational Site Number 2760001, Neuss, Germany",,https://ClinicalTrials.gov/show/NCT03916601
NCT03911843,Omega-3 and Vitamin D Supplements in Childhood T1D,,Completed,No Results Available,Type 1 Diabetes Mellitus,Drug: omega-3 supplementation|Drug: Vitamin D supplementation,Change from Baseline Plasma glucose levels to 12 months|Change from Baseline HbA1c% to 12 months|Change from Baseline vitamin D to 12 months|Change from Baseline Fatty acids to 12 months|Change from Baseline C-peptide to 12 months|Change from Baseline IDAA1c to 12 months,Azienda Ospedaliero Universitaria Maggiore della Carita|University of Eastern Piedmont,All,"1 Year to 18 Years   (Child, Adult)",Phase 2|Phase 3,64,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,AOU Novara,1-Jan-17,31-Dec-18,31-Dec-18,11-Apr-19,null,11-Apr-19,,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/43/NCT03911843/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/43/NCT03911843/SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/43/NCT03911843/ICF_002.pdf",https://ClinicalTrials.gov/show/NCT03911843
NCT03906383,Changes in the Diameter of Retinal Vessels After Remote Ischemic Conditioning in Patients With Type 1 Diabetes,,Completed,No Results Available,"Retinal Ischemia|Diabetes Complications|Ischemia|Diabetes Mellitus, Type 1",Other: Remote Ischemic Conditioning,Diameter change of retinal vessels,University of Aarhus,All,20 Years to 31 Years   (Adult),Not Applicable,21,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,RIK_RVA Diabetes,21-Nov-17,16-Oct-18,16-Oct-18,8-Apr-19,null,16-Apr-19,"University of Aarhus, Aarhus C, Danmark, Denmark",,https://ClinicalTrials.gov/show/NCT03906383
NCT03879642,Reducing Hypoglycemia Fear in Parents of Young Children With Type 1 Diabetes,,Completed,No Results Available,Parents,Behavioral: REDCHiP,Hypoglycemia Fear Survey|Child hemoglobin A1c,University of Kansas Medical Center|Children's Mercy Hospital Kansas City,All,1 Year to 6 Years   (Child),Not Applicable,43,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,R21HD081502,1-Oct-15,1-Oct-18,Mar-19,19-Mar-19,null,19-Mar-19,,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/42/NCT03879642/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03879642
NCT03829800,"Formulas for Diabetes With Sucromalt & Isomaltulose on Glycemic Index, Hormones & Subjective Appetite in Type 2 Diabetes",,Completed,No Results Available,"Diabetes Mellitus, Type 2",Dietary Supplement: Ensure® Abbott Nutrition|Dietary Supplement: Glucerna® Abbott Nutrition|Dietary Supplement: Diasip® Nutricia Advanced|Dietary Supplement: Glicolab®,Change from baseline Glycemia at 180 minutes|Change from baseline Insulin at 180 minutes|Glycemic Index (GI)|Glycemic Load (GL)|Change from baseline GLP-1 at 180 minutes|Change from baseline GIP at 180 minutes|Change from baseline Hunger at 180 minutes|Change from baseline Fullness at 180 minutes|Change from baseline Desire to eat at 180 minutes|Change from baseline Prospective food consumption at 180 minutes|Change from baseline Subjective appetite at 180 minutes|Age|Weight|Height|Body Mass Index|Hip Circumference|Total Cholesterol|HDL-C|LDL-C|Triacylglycerides|HbA1c,Universidad del Zulia,All,51 Years to 63 Years   (Adult),Not Applicable,23,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Basic Science",1001092016,1-Sep-16,1-Sep-17,15-Nov-18,4-Feb-19,null,4-Feb-19,,,https://ClinicalTrials.gov/show/NCT03829800
NCT03825562,Acceptance and Value Based Methods in Increasing Wellbeing of Adolescents With Type 1 Diabetes,,Recruiting,No Results Available,Diabetes,"Behavioral: acceptance and commitment therapy, ACT",Glycemic control|Quality of life assessed by KINDL-r Questionnaire|Diabetes Related Psychological flexibility assessed by DAAS|Depressive symptoms assessed by RBDI|Psychological flexibility assessed by CAMM,Central Finland Hospital District|University of Jyvaskyla|Finnish Diabetes Association,All,12 Years to 16 Years   (Child),Not Applicable,40,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,Dnro 7U/2015,Oct-15,May-19,Dec-19,31-Jan-19,null,3-May-19,"Iina Alho, Jyväskylä, Finland",,https://ClinicalTrials.gov/show/NCT03825562
NCT03763474,Euglyca Application in Children and Adolescents With Type 1 Diabetes Mellitus,,Completed,No Results Available,"Diabetes Mellitus, Type 1",Combination Product: Euglyca application,Level of glycosylated hemoglobin in the 2 groups|Change from Baseline glycosylated hemoglobin at 3 months in the 2 groups|Change from 3 months glycosylated hemoglobin at 6 months in the 2 groups|Change from 6 months glycosylated hemoglobin at 12 months in the 2 groups|Percentage of Normoglycemias in the 2 groups|Diabetes Treatment Satisfaction Questionnaire (DTSQ) score in the 2 groups,Aristotle University Of Thessaloniki,All,"6 Years to 18 Years   (Child, Adult)",Not Applicable,80,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,Euglyca application,1-Apr-17,1-Sep-18,1-Sep-18,4-Dec-18,null,4-Dec-18,"Endocrine Unit of 3rd Department of Pediatrics of Aristotle University of Thessaloniki, Hippokration General Hospital, Thessaloniki, Greece","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/74/NCT03763474/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03763474
NCT03722225,CHO-loading Before and High Intermittent CHO-intake During Physical Exercise in T1D,,Completed,No Results Available,"Diabetes Mellitus, Type 1",Other: Carbohydrate loading and high intermittent carbohydrate intake during physical exercise,"The percentage of the glucose values spent in target range, defined as 72-180 mg/dl.","Örebro University, Sweden",All,18 Years to 50 Years   (Adult),Not Applicable,10,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,Dnr:2012/159,20-Jan-16,18-Mar-16,25-Mar-16,26-Oct-18,null,26-Oct-18,,,https://ClinicalTrials.gov/show/NCT03722225
